"year","actual_west_germany","synthetic_west_germany","gap"
1960,4478.60641807809,4279.48396688187,199.122451196224
1961,4623.86923283534,4440.54082508115,183.328407754188
1962,4782.83551446831,4636.54399133864,146.291523129671
1963,4871.22728044372,4797.03870900864,74.1885714350865
1964,5143.19391432114,5079.09307500749,64.1008393136517
1965,5358.42709394567,5292.30372596628,66.123367979395
1966,5458.14540831898,5503.31194107939,-45.1665327604096
1967,5428.69473926702,5722.39934820927,-293.704608942253
1968,5705.28602973823,6033.47731166428,-328.19128192605
1969,6072.01691654456,6378.95537586139,-306.938459316829
1970,6316.99080675483,6549.09726760798,-232.106460853153
1971,6446.24301241193,6741.04298518754,-294.799972775613
1972,6683.42629610192,7007.53094955602,-324.104653454097
1973,6967.98005711804,7316.91008304501,-348.930025926963
1974,7021.38110411747,7334.63513250939,-313.254028391926
1975,6985.82512956023,7191.14122357246,-205.316094012227
1976,7367,7374.49620789923,-7.49620789923392
1977,7629.7020150083,7594.72633553836,34.9756794699379
1978,7868.8028710469,7786.84223999717,81.9606310497275
1979,8190.76747389218,8000.4573291137,190.310144778473
1980,8278.62807890746,8119.77851754704,158.849561360425
1981,8306.69476605825,8203.07924576141,103.615520296846
1982,8279.8120045951,8151.90606810329,127.905936491813
1983,8439.1565401143,8324.44176299922,114.714777115078
1984,8712.50866397731,8613.66376758837,98.8448963889423
1985,8937.91495598108,8893.56822395269,44.3467320283871
1986,9135.92840596754,9090.52480994455,45.4035960229921
1987,9262.15477452653,9293.54554781573,-31.3907732891985
1988,9547.42884364694,9645.28095225111,-97.8521086041674
1989,9821.42277968964,10001.1067736126,-179.683993922945
1990,10142.9679973282,10305.42072374,-162.452726411784
1991,10524.3342363353,10375.986943272,148.347293063294
1992,10551.1137127637,10436.8150503689,114.298662394824
1993,10243.1497338378,10429.5747438862,-186.425010048433
1994,10363.6573777653,10591.7655342679,-228.108156502542
1995,10417.216330622,10775.5726000814,-358.356269459448
1996,10470.7752834787,11013.6967782159,-542.921494737275
1997,10644.8418802628,11265.8331418134,-620.991261550555
1998,10885.8571681179,11485.5531601037,-599.695991985824
1999,11100.0929795445,11731.5381012432,-631.445121698665
2000,11421.4466966845,12091.6267272349,-670.180030550398
2001,11595.5132934687,12174.5111780914,-578.99788462272
2002,11515.1748641837,12161.8062425218,-646.631378338076
2003,11421.4466966845,12226.9085152779,-805.4618185934
