"year","actual_west_germany","synthetic_west_germany","gap"
1960,7443.86055055954,7030.11698842061,413.743562138921
1961,7685.30086374935,7337.24215622696,348.058707522388
1962,7949.51761383935,7604.05271340459,345.46490043476
1963,8096.43295274538,7868.17820599062,228.254746754767
1964,8548.4668016714,8300.45405941169,248.012742259707
1965,8906.20437122234,8593.48972556253,312.714645659817
1966,9071.945487373,8965.70608949171,106.239397881292
1967,9022.99573535671,9262.85904830839,-239.863312951682
1968,9482.71619381364,9711.55365621447,-228.837462400828
1969,10092.2570478503,10251.6887280113,-159.43168016102
1970,10499.4264454318,10606.6163907966,-107.189945364822
1971,10714.2556366909,10960.0457954104,-245.790158719503
1972,11108.4763214078,11442.5363468765,-334.060025468734
1973,11581.4311467282,11932.9533186558,-351.522171927585
1974,11670.1886552052,12043.598949802,-373.410294596777
1975,11611.0913174095,11831.7336587563,-220.642341346791
1976,12244.6394160943,12186.1368967918,58.5025193025413
1977,12681.2746064918,12629.5188062295,51.7558002622845
1978,13078.6824748605,12860.516638245,218.165836615428
1979,13613.817599957,13316.2629377097,297.554662247379
1980,13759.8500999288,13530.3937214638,229.456378465033
1981,13806.4995452615,13642.4763389851,164.023206276377
1982,13761.8178945726,13641.4886776301,120.329216942493
1983,14026.6633378137,13971.0967985192,55.5665392945575
1984,14481,14344.0048284347,136.995171565317
1985,14855.6462288184,14789.5157014077,66.1305274106926
1986,15184.7630056096,15114.5710691232,70.1919364863988
1987,15394.5629740917,15417.2587241198,-22.6957500280805
1988,15868.7150184981,15972.7144681062,-103.999449608087
1989,16324.1184322403,16540.7677314057,-216.649299165338
1990,16858.5565001043,17041.649872155,-183.093372050673
1991,17492.4226711528,17191.5332003801,300.889470772756
1992,17536.9326525044,17306.8219941238,230.110658380549
1993,17025.0678669616,17282.230453768,-257.162586806382
1994,17225.3627830436,17565.9860293091,-340.623246265455
1995,17314.3827457466,17883.4096201661,-569.026874419487
1996,17403.4027084497,18252.3468161296,-848.94410767993
1997,17692.7175872347,18645.7474981414,-953.029910906735
1998,18093.3074193985,19073.4108747873,-980.103455388824
1999,18449.3872702107,19534.7468124042,-1085.35954219347
2000,18983.5070464291,20122.4981563649,-1138.99110993577
2001,19272.8219252141,20256.7150321848,-983.893106970674
2002,19139.2919811595,20305.052974309,-1165.76099314941
2003,18983.5070464291,20437.4666286656,-1453.95958223644
