"year","actual_west_germany","synthetic_west_germany","gap"
1960,6902.51136974811,6408.80731106928,493.704058678827
1961,7126.39311707383,6684.43849112603,441.954625947797
1962,7371.39490199268,6920.66600524715,450.72889674553
1963,7507.62593296129,7162.87701301352,344.748919947765
1964,7926.78595893575,7556.6029290812,370.183029854549
1965,8258.50733179595,7826.38958089495,432.117750900999
1966,8412.19504946533,8186.08099621331,226.114053252016
1967,8366.80513148609,8446.05023517603,-79.245103689942
1968,8793.09276407295,8851.14207717656,-58.049313103611
1969,9358.30521623231,9338.20761485975,20.0976013725522
1970,9735.86352446904,9668.00208580656,67.8614386624831
1971,9935.06942376662,9998.63655070982,-63.5671269431932
1972,10300.6207045793,10461.0531405496,-160.432435970295
1973,10739.1802446162,10918.0951553354,-178.914910719241
1974,10821.4829297957,11040.989590251,-219.506660455359
1975,10766.6834016091,10889.5914363495,-122.908034740372
1976,11354.1571895384,11256.0441442047,98.1130453337519
1977,11759.0384128875,11689.7876261172,69.2507867702661
1978,12127.5450918091,11892.673285556,234.871806253119
1979,12623.7629159129,12343.3546313239,280.408284589015
1980,12759.1753117472,12522.9617025904,236.213609156863
1981,12802.4322111228,12615.2515434226,187.180667700177
1982,12761,12640.7818524578,120.218147542202
1983,13006.5847568317,12972.4135777579,34.1711790737754
1984,13427.8801256975,13295.4306484865,132.449477211079
1985,13775.2804882497,13700.4315195347,74.8489687149704
1986,14080.4624940579,14007.2684190635,73.1940749943951
1987,14275.0049170365,14284.9079049591,-9.90298792262547
1988,14714.6746092983,14796.4479610914,-81.7733517931247
1989,15136.9591510126,15315.5095887587,-178.550437746135
1990,15632.5306108487,15776.5161883522,-143.985577503496
1991,16220.2993395673,15942.1218746831,278.177464884171
1992,16261.5723658766,16070.2433692272,191.328996649401
1993,15786.9325633193,16055.7381245556,-268.805561236321
1994,15972.6611817113,16336.2178814123,-363.556699700996
1995,16055.2072343299,16649.7254780794,-594.518243749468
1996,16137.7532869486,17003.511040789,-865.757753840358
1997,16406.0279579593,17370.7561163621,-964.728158402871
1998,16777.4851947433,17791.2032731274,-1013.71807838414
1999,17107.6694052179,18253.889067919,-1146.2196627011
2000,17602.9457209298,18798.0445354151,-1195.09881448524
2001,17871.2203919405,18920.4457508306,-1049.22535889007
2002,17747.4013130125,18993.1112028236,-1245.70988981109
2003,17602.9457209298,19135.7442528966,-1532.79853196674
