"year","gap"
1960,6.05182248322247
1961,5.72207482743168
1962,6.12659101583675
1963,5.43904471563728
1964,5.46871448413788
1965,6.21398704138569
1966,4.71454704934009
1967,3.06249411505239
1968,3.18341864831446
1969,3.42401235054491
1970,2.52862833533341
1971,1.57161582052595
1972,0.406133401741982
1973,-0.0522399838480538
1974,-0.569859371965677
1975,-0.73475246888033
1976,0.0951977750135597
1977,-0.721224246927761
1978,0.426833927861182
1979,-0.158028744195192
1980,-0.703612175287248
1981,-0.854298371990154
1982,-2.55470701734535
1983,-3.34090303356409
1984,-2.25547136174229
1985,-2.52898111963007
1986,-2.78785606557841
1987,-3.58863132669578
1988,-4.36496383253959
1989,-5.70646991474884
1990,-12.8879010898877
1991,-9.67025465082476
1992,-10.830252971834
1993,-14.3199113509503
1994,-15.675467925671
1995,-18.2032127025628
1996,-20.9310555027486
1997,-22.074164924324
1998,-23.1248320704686
1999,-24.8333150163979
2000,-26.0361366656032
2001,-25.6658519047345
2002,-28.1303030805346
2003,-30.6288067206801
