"year","actual_west_germany","synthetic_west_germany","gap"
1960,11314.6952067952,10239.9607002008,1074.73450659448
1961,11681.6853640962,10685.1713994054,996.513964690776
1962,12083.2957886189,11064.0045455718,1019.29124304712
1963,12306.6076399942,11461.5535382471,845.054101747055
1964,12993.7007402764,12109.3430188858,884.357721390541
1965,13537.4631517289,12552.1130572347,985.350094494186
1966,13789.3902532297,13161.404861901,627.98539132875
1967,13714.9864514993,13591.4897231239,123.496728375481
1968,14413.7632263245,14264.7784258837,148.98480044086
1969,15340.2675492724,15073.0513359788,267.216213293583
1970,15959.1665197565,15612.0152443803,347.151275376156
1971,16285.7076745927,16156.0372732272,129.670401365449
1972,16884.9245542601,16937.7995976099,-52.8750433497589
1973,17603.817615023,17699.0698259034,-95.2522108803969
1974,17738.7293518712,17921.5045789136,-182.775227042403
1975,17648.9011827175,17747.8758365013,-98.9746537837709
1976,18611.8966051567,18393.1571553443,218.739449812321
1977,19275.5836882706,19125.4592623155,150.124425955168
1978,19879.645098722,19448.8449356187,430.800163103286
1979,20693.0524421015,20226.1101036154,466.942338486097
1980,20915.0223750743,20505.4412822062,409.581092868153
1981,20985.9297022495,20647.4470980279,338.482604221659
1982,20918.0134301152,20742.1816619626,175.831768152671
1983,21320.5794705225,21315.3077355328,5.27173498967386
1984,22011.1728553655,21810.8065946957,200.366260669754
1985,22580.6364906208,22470.4035416154,110.23294900536
1986,23080.8951926132,22983.5437942002,97.3513984129931
1987,23399.7919104718,23445.8855318043,-46.093621332453
1988,24120.5047486151,24299.0539784515,-178.549229836386
1989,24812.7195997168,25154.0405056609,-341.320905944096
1990,25625.0674135585,25930.7858586709,-305.718445112376
1991,26588.5463071513,26268.2874573016,320.258849849666
1992,26656.2016412662,26499.4773171543,156.724324111932
1993,25878.1652989449,26476.3696396136,-598.20434066873
1994,26182.614302462,26950.7912190969,-768.176916634879
1995,26317.9249706917,27500.8692979095,-1182.94432721778
1996,26453.2356389215,28106.7905659831,-1653.55492706164
1997,26892.9953106683,28703.8157087116,-1810.8203980433
1998,27501.8933177023,29393.1712674961,-1891.27794979376
1999,28043.1359906213,30174.0319660057,-2130.89597538438
2000,28855,31066.3576096386,-2211.35760963857
2001,29294.7596717468,31268.6807635115,-1973.92109176471
2002,29091.7936694022,31413.0984459478,-2321.30477654558
2003,28855,31666.4131221147,-2811.41312211473
