"year","actual_west_germany","synthetic_west_germany","gap"
1960,7842.52484176789,7346.28740950687,496.237432261023
1961,8096.89576141832,7645.98032463526,450.915436783061
1962,8375.26293556376,7916.84693837766,458.415997186103
1963,8530.04649003547,8188.48930863912,341.557181396345
1964,9006.28951815825,8632.88734008445,373.402178073804
1965,9383.18612402308,8947.60546551069,435.580658512386
1966,9557.80369133043,9353.22683641539,204.576854915036
1967,9506.23238050606,9639.98170420545,-133.749323699389
1968,9990.57368314457,10092.6949501798,-102.121267035234
1969,10632.7591804932,10630.6902591799,2.06892131333552
1970,11061.7349913176,10999.8536259919,61.8813653257293
1971,11288.0696005897,11372.7344076838,-84.664807094121
1972,11703.4032157255,11891.460206274,-188.056990548432
1973,12201.6876665715,12408.9980482981,-207.31038172656
1974,12295.1986828508,12548.0549934592,-252.856310608378
1975,12232.9363209221,12372.6996513724,-139.763330450236
1976,12900.4147978016,12793.8395687637,106.57522903793
1977,13360.4344749871,13284.0256757646,76.4087992225268
1978,13779.1259669659,13520.1522849509,258.97368201497
1979,14342.9208532036,14021.1308658674,321.78998733618
1980,14496.7742873129,14212.6258467134,284.148440599496
1981,14545.9220959521,14311.7631530274,234.158942924727
1982,14498.8474694033,14322.447572471,176.399896932344
1983,14777.877007066,14700.1082559119,77.7687511540771
1984,15256.546178193,15078.2190316029,178.327146590122
1985,15651.2570055153,15533.7751318261,117.481873689208
1986,15998,15881.693488293,116.306511707013
1987,16219.036040835,16192.8131081136,26.222932721339
1988,16718.5818291762,16763.6125357512,-45.0307065750203
1989,17198.3748829339,17345.9497701981,-147.574887264105
1990,17761.4353802581,17854.4326233838,-92.997243125712
1991,18429.248964223,18025.805916152,403.443048071043
1992,18476.1427274908,18177.806724526,298.336002964756
1993,17936.8644499116,18171.6454193795,-234.780969467818
1994,18147.8863846165,18497.8056376822,-349.919253065695
1995,18241.673911152,18850.6808590561,-609.006947904119
1996,18335.4614376875,19252.8771299031,-917.415692215651
1997,18640.2708989278,19681.3582154407,-1041.08731651284
1998,19062.3147683375,20177.5638580619,-1115.24908972435
1999,19437.4648744794,20720.9219547506,-1283.45708027117
2000,20000.1900336923,21340.5405951352,-1340.3505614429
2001,20304.9994949327,21479.1148443842,-1174.11534945153
2002,20164.3182051295,21563.8760320079,-1399.55782687845
2003,20000.1900336923,21728.3794289867,-1728.18939529439
