"year","actual_west_germany","synthetic_west_germany","gap"
1960,8064.93502490008,7341.71167895464,723.223345945441
1961,8326.51977988599,7638.27403194322,688.245747942768
1962,8612.78131145189,7911.76468752488,701.01662392701
1963,8771.95445210795,8187.33113901546,584.623313092483
1964,9261.70350045219,8640.79800051694,620.905499935256
1965,9649.28871041118,8964.91920854071,684.369501870475
1966,9828.85834684251,9386.12476035495,442.733586487557
1967,9775.82449877201,9680.05354333984,95.7709554321718
1968,10273.9014847512,10145.7799137481,128.121571003099
1969,10934.2990498908,10695.4033047878,238.895745103029
1970,11375.4404056857,11065.7576601861,309.682745499562
1971,11608.193754192,11443.8594200666,164.334334125388
1972,12035.306028276,11980.6080803076,54.6979479683832
1973,12547.7215833518,12513.2616286623,34.4599546895788
1974,12643.8845264883,12662.5114360335,-18.626909545228
1975,12579.8564343135,12522.0226775331,57.8337567803774
1976,13266.2642755591,12972.728418593,293.535856966011
1977,13739.3298866385,13478.8705330789,260.459353559545
1978,14169.8952653164,13718.3606937765,451.534571539893
1979,14749.6790998109,14241.6860464877,507.993053323225
1980,14907.8957423443,14424.8883180172,483.007424327074
1981,14958.4373588886,14520.4532491213,437.984109767294
1982,14910.0277188686,14551.9710420566,358.056676811972
1983,15196.9703982583,14950.1019463305,246.868451927812
1984,15689.2143938402,15322.731994544,366.48239929619
1985,16095.1190278969,15783.0752993852,312.043728511746
1986,16451.6954847499,16141.8377775519,309.857707197927
1987,16679,16462.074761744,216.925238255975
1988,17192.7126634879,17048.5865400394,144.126123448528
1989,17686.1124144643,17641.7901571089,44.3222573553794
1990,18265.1410331334,18166.4637609078,98.677272225581
1991,18951.893484938,18370.5975795455,581.295905392508
1992,19000.1171324824,18537.169370494,462.947761988409
1993,18445.5451857221,18534.0065759214,-88.4613901993434
1994,18662.5515996718,18874.1740213859,-211.622421714135
1995,18758.9988947605,19250.5969471792,-491.598052418703
1996,18855.4461898493,19674.0519098506,-818.605720001313
1997,19168.8998988877,20110.141209522,-941.241310634265
1998,19602.9127267871,20616.2985531139,-1013.38582632682
1999,19988.701907142,21182.2708475755,-1193.56894043354
2000,20567.3856776744,21812.6724756679,-1245.28679799351
2001,20880.8393867128,21954.2470823116,-1073.40769559875
2002,20736.1684440798,22051.6218683239,-1315.45342424413
2003,20567.3856776744,22228.7405076118,-1661.35482993742
