"year","actual_west_germany","synthetic_west_germany","gap"
1960,10256.9907803053,9225.04128651237,1031.94949379291
1961,10589.6744797864,9765.87508434609,823.799395440345
1962,10953.7421233523,10072.2132816399,881.528841712423
1963,11156.1786502606,10452.5406949709,703.637955289712
1964,11779.041879539,11033.1824847928,745.859394746238
1965,12271.973057888,11331.4030786169,940.569979271126
1966,12500.3498643486,11859.580854032,640.769010316622
1967,12432.9013741843,12270.0127757306,162.888598453679
1968,13066.3560811717,12874.3937546071,191.962326564644
1969,13906.250229861,13684.1025938499,222.147636011057
1970,14467.2941570879,14268.4260803554,198.868076732428
1971,14763.310050873,14795.2884313323,-31.9783804593862
1972,15306.5117808198,15511.9521449851,-205.440364165328
1973,15958.2022913907,16166.3224542276,-208.120162836942
1974,16080.502398969,16377.4696609642,-296.967261995271
1975,15999.0714204069,16089.3764504054,-90.3050299984916
1976,16872.0454589389,16552.5126603506,319.53279858828
1977,17473.6906794323,17219.3155079092,254.37517152309
1978,18021.2840705487,17430.1309620926,591.153108456056
1979,18758.6536124755,18179.5937462852,579.059866190211
1980,18959.8736643104,18578.6459078027,381.22775650768
1981,19024.1525324371,18749.638541893,274.513990544099
1982,18962.58511375,18907.0037913591,55.5813223908917
1983,19327.5190416601,19363.4214053606,-35.9023637005157
1984,19953.5553468201,19727.5446142967,226.010732523395
1985,20469.7851833097,20350.1208284697,119.664354839937
1986,20923.279404791,20789.3140914953,133.965313295674
1987,21212.3654681063,21197.0729535761,15.2925145301961
1988,21865.7056421875,21990.7704563205,-125.064814133006
1989,22493.2118379777,22794.8340034684,-301.622165490779
1990,23229.620895817,23567.8464522054,-338.225556388468
1991,24103.0332103321,23876.9875868718,226.045623460337
1992,24164.3640836408,23987.8041489267,176.559934714172
1993,23459.0590405903,23873.7906319019,-414.731591311545
1994,23735.0479704797,24212.2136703311,-477.16569985143
1995,23857.7097170971,24657.451670573,-799.741953475866
1996,23980.3714637146,25123.3517933877,-1142.98032967312
1997,24379.0221402214,25568.4090912337,-1189.38695101239
1998,24931,26077.4457610979,-1146.44576109787
1999,25421.6469864698,26617.6216962418,-1195.974709772
2000,26157.6174661746,27401.9809197838,-1244.36345360921
2001,26556.2681426813,27588.3555569058,-1032.08741422445
2002,26372.2755227552,27676.1993495066,-1303.92382675139
2003,26157.6174661746,27842.363193406,-1684.74572723144
