"index","country","year","gdp","infrate","trade","schooling","invest60","invest70","invest80","industry"
1,"USA",1960,14.0679208404593,NA,9.69318103790283,43.7999992370605,NA,NA,NA,NA
1,"USA",1961,14.3122404104569,1.07518196105957,9.44465446472168,NA,NA,NA,NA,NA
1,"USA",1962,15.1624725140484,1.11607098579407,9.42932415008545,NA,NA,NA,NA,NA
1,"USA",1963,15.7683850476423,1.21412801742554,9.47070598602295,NA,NA,NA,NA,NA
1,"USA",1964,16.7114585878329,1.30861496925354,9.72587871551514,NA,NA,NA,NA,NA
1,"USA",1965,17.9183972636208,1.66846096515656,9.7303466796875,43.7999992370605,NA,NA,NA,NA
1,"USA",1966,19.4185194234058,2.9909999370575,10.0975923538208,NA,NA,NA,NA,NA
1,"USA",1967,20.298069875397,2.7756359577179,10.2081022262573,NA,NA,NA,NA,NA
1,"USA",1968,21.9594429513804,4.2177209854126,10.593936920166,NA,NA,NA,NA,NA
1,"USA",1969,23.4791106767652,5.41470098495483,10.6356334686279,NA,NA,NA,NA,NA
1,"USA",1970,24.4270706083557,5.89529609680176,11.3886413574219,44.4000015258789,NA,NA,NA,NA
1,"USA",1971,26.200830686538,4.2559289932251,11.3675756454468,NA,NA,NA,NA,34.5086288452148
1,"USA",1972,28.5267529929147,3.30561494827271,11.9671583175659,NA,NA,NA,NA,34.4442901611328
1,"USA",1973,31.5856340092841,6.22006416320801,13.7135648727417,NA,NA,NA,NA,34.3752098083496
1,"USA",1974,33.9653066210603,11.0352602005005,17.3161354064941,NA,NA,NA,NA,34.036060333252
1,"USA",1975,36.7407769362326,9.13193035125732,16.3796901702881,42.5999984741211,NA,NA,NA,33.2256698608398
1,"USA",1976,40.5570486195944,5.73702716827393,16.8736591339111,NA,NA,NA,NA,33.7608489990234
1,"USA",1977,44.6909357439531,6.48646020889282,17.2205905914307,NA,NA,NA,NA,34.2646408081055
1,"USA",1978,49.9828976301002,7.64746379852295,17.8061904907227,NA,NA,NA,NA,34.0372314453125
1,"USA",1979,55.2455411678475,11.2660398483276,19.2805461883545,NA,NA,NA,NA,33.6264801025391
1,"USA",1980,59.5455655998045,13.5093698501587,21.081579208374,62.9000015258789,0.238839998841286,0.245680004358292,22.3759994506836,33.5143890380859
1,"USA",1981,66.1275348155387,10.3155298233032,20.3632411956787,NA,NA,NA,NA,34.0882797241211
1,"USA",1982,68.1162961153188,6.16061592102051,18.4716205596924,NA,NA,NA,NA,32.9096908569336
1,"USA",1983,73.3349621304666,3.21243500709534,17.6243076324463,NA,NA,NA,NA,31.4972190856934
1,"USA",1984,80.8648912777913,4.31726884841919,18.5770130157471,NA,NA,NA,NA,31.8727798461914
1,"USA",1985,86.00048863914,3.56111598014832,17.6424083709717,57.4000015258789,NA,NA,NA,30.8645191192627
1,"USA",1986,90.100171023699,1.85873603820801,17.9541244506836,NA,NA,NA,NA,29.4432601928711
1,"USA",1987,94.8301978988517,3.74087595939636,19.1161861419678,NA,NA,NA,NA,29.1997299194336
1,"USA",1988,101.202052284388,4.00908803939819,20.3308181762695,NA,NA,NA,NA,29.6064891815186
1,"USA",1989,107.730271194723,4.82700300216675,20.7302932739258,NA,NA,NA,NA,28.6190395355225
1,"USA",1990,112.699731248473,5.39795589447021,21.1879501342773,44.4000015258789,NA,NA,NA,27.85032081604
1,"USA",1991,114.864402638651,4.23496389389038,21.2663497924805,NA,NA,NA,NA,26.620059967041
1,"USA",1992,119.760566821402,3.0288200378418,21.5422096252441,NA,NA,NA,NA,25.7284297943115
1,"USA",1993,124.158319081358,2.95165705680847,21.5576496124268,NA,NA,NA,NA,25.6100101470947
1,"USA",1994,130.320058636697,2.60744190216064,22.6182193756104,NA,NA,NA,NA,26.082950592041
1,"USA",1995,134.737356462253,2.805419921875,24.2739791870117,44.5999984741211,NA,NA,NA,26.2928504943848
1,"USA",1996,140.796481798192,2.93120408058167,24.5824699401855,NA,NA,NA,NA,25.785400390625
1,"USA",1997,147.871976545321,2.33769011497498,25.5915393829346,NA,NA,NA,NA,25.3842906951904
1,"USA",1998,154.01417053506,1.55227899551392,24.6905689239502,NA,NA,NA,NA,25.0188407897949
1,"USA",1999,161.387735157586,2.18802690505981,NA,NA,NA,NA,NA,24.7250499725342
1,"USA",2000,169.083801612509,3.37685704231262,NA,39.5999984741211,NA,NA,NA,24.443489074707
1,"USA",2001,172.689958465673,2.82617092132568,NA,NA,NA,NA,NA,23.0485801696777
1,"USA",2002,176.789640850232,1.58603203296661,NA,NA,NA,NA,NA,NA
1,"USA",2003,183.474224285365,2.27009510993958,NA,NA,NA,NA,NA,NA
2,"UK",1960,10.5448326410946,NA,43.2554702758789,24.5,NA,NA,NA,NA
2,"UK",1961,10.8282433422917,3.57941794395447,41.5332412719727,NA,NA,NA,NA,NA
2,"UK",1962,11.1214268262888,4.10367202758789,40.4046325683594,NA,NA,NA,NA,NA
2,"UK",1963,11.6589298802834,2.07468891143799,40.4065856933594,NA,NA,NA,NA,NA
2,"UK",1964,12.3821158074762,3.21138191223145,40.5187644958496,NA,NA,NA,NA,NA
2,"UK",1965,12.99780112387,4.80504083633423,39.2253379821777,26.5,NA,NA,NA,NA
2,"UK",1966,13.6525775714635,3.90830492973328,38.9646339416504,NA,NA,NA,NA,NA
2,"UK",1967,14.2829220620572,2.42314600944519,39.3131866455078,NA,NA,NA,NA,NA
2,"UK",1968,15.504519912045,4.73163795471191,43.6651306152344,NA,NA,NA,NA,NA
2,"UK",1969,16.5697532372343,5.46190214157104,44.0389823913574,NA,NA,NA,NA,NA
2,"UK",1970,17.6643049108234,6.36189317703247,45.2477378845215,28.8999996185303,NA,NA,NA,NA
2,"UK",1971,18.8321524554117,9.40787506103516,44.9333992004395,NA,NA,NA,NA,43.0785903930664
2,"UK",1972,20.2736379183973,7.08791208267212,43.5590438842773,NA,NA,NA,NA,42.5600814819336
2,"UK",1973,22.8829709259712,9.20985126495361,49.803581237793,NA,NA,NA,NA,42.1353988647461
2,"UK",1974,24.6078670901539,15.9032201766968,60.9621200561523,NA,NA,NA,NA,41.6237487792969
2,"UK",1975,26.7823112631322,24.2350807189941,53.5620613098145,31,NA,NA,NA,40.4881782531738
2,"UK",1976,29.0886880039091,16.5325508117676,58.1697883605957,NA,NA,NA,NA,41.0899200439453
2,"UK",1977,31.7077937942829,15.8819799423218,59.4204177856445,NA,NA,NA,NA,41.3304100036621
2,"UK",1978,35.0647446860494,8.21596240997314,55.6567916870117,NA,NA,NA,NA,41.4658088684082
2,"UK",1979,38.9591986318104,13.4657096862793,55.6903533935547,NA,NA,NA,NA,41.8238716125488
2,"UK",1980,41.5440996823846,17.9705905914307,52.3268737792969,32.9000015258789,0.200800001621246,0.226019993424416,17.5879993438721,42.3462982177734
2,"UK",1981,44.7642316149524,11.8798303604126,50.5142097473145,NA,NA,NA,NA,41.894660949707
2,"UK",1982,48.4583435133154,8.5905294418335,50.7524070739746,NA,NA,NA,NA,41.4916915893555
2,"UK",1983,52.1329098460787,4.607017993927,52.0913009643555,NA,NA,NA,NA,40.9014511108398
2,"UK",1984,55.3921329098461,4.95340919494629,57.0043296813965,NA,NA,NA,NA,40.3823585510254
2,"UK",1985,58.9689714146103,6.06542110443115,56.6223640441895,35.7000007629395,NA,NA,NA,39.7627792358398
2,"UK",1986,62.5213779623748,3.42761492729187,52.056396484375,NA,NA,NA,NA,39.1343383789062
2,"UK",1987,67.0266308331297,4.14891815185547,51.936164855957,NA,NA,NA,NA,38.0305213928223
2,"UK",1988,72.6313217688737,4.9079761505127,49.6491813659668,NA,NA,NA,NA,37.2129898071289
2,"UK",1989,76.7945272416321,7.79727077484131,51.6456298828125,NA,NA,NA,NA,36.6296691894531
2,"UK",1990,80.1221597849988,9.47558784484863,51.4674606323242,38.5,NA,NA,NA,35.1742401123047
2,"UK",1991,81.5098949425849,5.85398101806641,48.2093811035156,NA,NA,NA,NA,33.127010345459
