"year","actual_west_germany","synthetic_west_germany","gap"
1960,5995.72712512894,5602.13676689252,393.590358236415
1961,6190.19748430069,5858.3793151575,331.81816914319
1962,6403.01333766981,6073.20491906518,329.808418604635
1963,6521.34767193004,6288.38646307355,232.961208856485
1964,6885.44256477141,6639.0587746471,246.383790124311
1965,7173.58563715515,6870.04641608828,303.539221066874
1966,7307.08336983083,7170.80846010478,136.274909726053
1967,7267.65633409594,7418.73668285816,-151.080348762216
1968,7637.94247849984,7787.61578137487,-149.67330287503
1969,8128.90286224146,8234.48543096341,-105.582568721949
1970,8456.86126299603,8519.85934925429,-62.9980862582579
1971,8629.89744503535,8804.18650057321,-174.28905553786
1972,8947.42618386512,9195.18849646714,-247.762312602012
1973,9328.37207287985,9591.13993421901,-262.76786133916
1974,9399.86263849694,9675.75341656811,-275.890778071176
1975,9352.26213485529,9505.75341768407,-153.491282828776
1976,9862.55937841035,9783.62575235444,78.9336260559103
1977,10214.2512776702,10138.4588254727,75.792452197471
1978,10534.3471633916,10323.7869743128,210.560189078793
1979,10965.3767566192,10693.9033217172,271.473434902011
1980,11083,10875.2088097923,207.791190207718
1981,11120.5742321949,10971.8402609566,148.733971238275
1982,11084.5849786065,10981.0908141328,103.49416447373
1983,11297.9072187562,11243.1498433935,54.7573753627003
1984,11663.8569340832,11539.6518860448,124.205048038355
1985,11965.6192442711,11902.3251829298,63.2940613413357
1986,12230.7094313507,12163.9105465364,66.7988848143032
1987,12399.6947788509,12412.140347506,-12.4455686550446
1988,12781.6049791795,12867.6906032831,-86.0856241035453
1989,13148.4139195278,13330.4700758855,-182.056156357745
1990,13578.8820614857,13744.0974259232,-165.215364437507
1991,14089.435499402,13874.5036704327,214.931828969229
1992,14125.2864803165,13961.2165107809,164.06996953554
1993,13713.0001997996,13933.8940240415,-220.893824241964
1994,13874.3296139149,14154.950199209,-280.620585294086
1995,13946.0315757439,14410.9938635463,-464.962287802469
1996,14017.7335375729,14707.5754482355,-689.841910662632
1997,14250.7649135172,15015.3930218503,-764.628108333076
1998,14573.4237417478,15340.9598634449,-767.536121697101
1999,14860.2315890638,15694.2112209088,-833.979631844923
2000,15290.4433600379,16165.2860227272,-874.842662689231
2001,15523.4747359823,16272.9731365051,-749.498400522814
2002,15415.9217932388,16307.042787433,-891.12099419428
2003,15290.4433600379,16410.8593851124,-1120.41602507442
