"year","actual_west_germany","synthetic_west_germany","gap"
1960,9192.68180492632,8563.97864139724,628.703163529077
1961,9490.84482920126,8962.64110335795,528.203725843308
1962,9817.13526608035,9289.16092311156,527.974342968793
1963,9998.56611821051,9619.92723405736,378.63888415315
1964,10556.7984104477,10158.6701611943,398.128249253376
1965,10998.580953822,10508.4678883718,490.113065450169
1966,11203.2604118019,10968.5292147004,234.731197101439
1967,11142.8106637633,11350.9293100852,-208.118646321971
1968,11710.5354169482,11917.4941263872,-206.958709439039
1969,12463.2785775976,12609.4855980894,-146.207020491705
1970,12966.1062014156,13056.7766016808,-90.6704002652532
1971,13231.4062274224,13496.2000544028,-264.793826980351
1972,13718.2430362138,14098.3871576767,-380.144121462863
1973,14302.311368465,14705.3731216646,-403.061753199612
1974,14411.9210968693,14842.0778003432,-430.156703473891
1975,14338.9397428818,14582.8983910876,-243.958648205835
1976,15121.3302833505,15008.339857532,112.990425818512
1977,15660.5462376117,15554.7500488424,105.796188769311
1978,16151.3190101367,15831.4343889047,319.884621231955
1979,16812.1759531489,16406.046635594,406.129317554914
1980,16992.5165568317,16691.4472376678,301.069319163907
1981,17050.1255762924,16837.8247086754,212.300867616981
1982,16994.9466547486,16862.7429272178,132.203727530828
1983,17322.0134866249,17263.6322234856,58.381263139323
1984,17883.0896028986,17706.7115619745,176.378040924108
1985,18345.7532365804,18262.6343494462,83.1188871341874
1986,18752.1909694148,18663.5287693274,88.6622000874522
1987,19011.2802336266,19042.8946375143,-31.6144038877028
1988,19596.827053288,19743.3391499093,-146.512096621373
1989,20159.2205380901,20455.811464874,-296.590926783916
1990,20819.2166609276,21098.4831806421,-279.266519714434
1991,21602,21308.9448530057,293.055146994269
1992,21656.9669211196,21438.4001964082,218.5667247114
1993,21024.8473282442,21391.0807004418,-366.233372197566
1994,21272.1984732824,21727.288711353,-455.090238070556
1995,21382.1323155216,22122.7573207487,-740.625005227099
1996,21492.0661577608,22576.5916821097,-1084.52552434893
1997,21849.3511450381,23044.3080584621,-1194.95691342397
1998,22344.0534351145,23540.1801859558,-1196.12675084128
1999,22783.7888040712,24078.306131422,-1294.51732735082
2000,23443.3918575063,24800.8312077487,-1357.43935024244
2001,23800.6768447836,24968.6592972598,-1167.98245247616
2002,23635.7760814249,25020.8447384005,-1385.06865697562
2003,23443.3918575063,25176.3198947218,-1732.92803721556
