"year","actual_west_germany","synthetic_west_germany","gap"
1960,7174.44686304844,6745.6379623231,428.808900725343
1961,7407.14879047075,7036.0675411685,371.081249302246
1962,7661.80281320168,7293.4603765179,368.342436683782
1963,7803.40088387871,7547.40996413458,255.990919744133
1964,8239.0743905748,7964.35797796741,274.716412607391
1965,8583.86445833963,8250.36240438348,333.502053956152
1966,8743.60694985579,8612.79628152567,130.810668330121
1967,8696.42882334267,8898.66220102808,-202.233377685405
1968,9139.51074013215,9332.31453024176,-192.803790109607
1969,9726.99064232006,9850.98737634748,-123.996734027411
1970,10119.4234649618,10188.8816986479,-69.4582336860549
1971,10326.477399792,10528.4550508247,-201.977651032717
1972,10706.4301589289,10996.2688047635,-289.838645834561
1973,11162.2674546221,11471.5858510394,-309.318396417353
1974,11247.8125859339,11579.9745403074,-332.161954373496
1975,11190.8541425451,11389.5091820783,-198.655039533201
1976,11801.4724014885,11740.8936432689,60.578758219548
1977,12222.304569255,12171.0533510137,51.2512182413284
1978,12605.3291591439,12395.6855077089,209.643651434988
1979,13121.096279374,12838.1783435801,282.917935793897
1980,13261.8434634742,13037.2663533185,224.57711015568
1981,13306.8045376986,13143.03983263,163.76470506857
1982,13263.7400382438,13145.7835633775,117.956474866269
1983,13519,13469.6598651709,49.34013482913
1984,13956.8929748415,13828.3549702214,128.538004620092
1985,14317.9797312151,14256.4878835864,61.4918476287239
1986,14635.1848710466,14571.9410032135,63.2438678331855
1987,14837.3916044373,14865.1036592626,-27.7120548253297
1988,15294.3827885808,15401.591953871,-107.2091652902
1989,15733.3039063198,15948.4636465677,-215.159740247944
1990,16248.3991977263,16430.9757559517,-182.576558225428
1991,16859.3240171239,16582.9114900571,276.412527066801
1992,16902.2230604245,16700.3194021224,201.90365830213
1993,16408.8840624679,16680.1384062747,-271.254343806799
1994,16601.9297573205,16958.647450058,-356.717692737457
1995,16687.7278439216,17270.6501069845,-582.922263062919
1996,16773.5259305228,17632.2958042859,-858.769873763169
1997,17052.3697119765,18014.1030854598,-961.733373483297
1998,17438.4611016816,18430.3633128128,-991.902211131171
1999,17781.6534480861,18883.5831084918,-1101.92966040564
2000,18296.441967693,19450.7938084377,-1154.35184074478
2001,18575.2857491467,19579.8383360683,-1004.55258692168
2002,18446.588619245,19631.2389467845,-1184.65032753954
2003,18296.441967693,19763.9458777353,-1467.50391004233
