"year","actual_west_germany","synthetic_west_germany","gap"
1960,9667.52378304007,8613.8557077716,1053.66807526847
1961,9981.08822370812,9067.57160773138,913.516615976747
1962,10324.2329801182,9356.99887388734,967.234106230901
1963,10515.0355244863,9706.59904810252,808.436476383737
1964,11102.1029413931,10248.0069095192,854.096031873887
1965,11566.7054736719,10562.4376216078,1004.26785206408
1966,11781.9575154493,11084.2246577597,697.732857689587
1967,11718.3852751343,11446.4783754214,271.906899712882
1968,12315.4354798629,12004.8847545621,310.550725300782
1969,13107.0610971229,12725.6529571883,381.408139934547
1970,13635.8619536286,13242.0850709074,393.776882721138
1971,13914.8658793043,13729.8664710781,184.999408226171
1972,14426.8499256713,14418.9637136968,7.88621197440807
1973,15041.0879263745,15051.9364954313,-10.8485690568759
1974,15156.3594737519,15268.3301796324,-111.970705880511
1975,15079.6083155626,15088.897393068,-9.28907750537655
1976,15902.4127286941,15609.2113106148,293.201418079332
1977,16469.4815310996,16258.9140288536,210.567502246018
1978,16985.6048508376,16476.3084020964,509.29644874121
1979,17680.5979278671,17196.7406677452,483.857260121811
1980,17870.2539077158,17501.7697733312,368.484134384646
1981,17930.8386834724,17636.9527614575,293.885922014899
1982,17872.8095307544,17789.3323733789,83.477157375466
1983,18216.7707863385,18267.914353207,-51.1435668685153
1984,18806.828923156,18619.4360962077,187.392826948366
1985,19293.3911448322,19189.8216548092,103.569490023056
1986,19720.8231534541,19620.0159158621,100.807237592002
1987,19993.2955044883,20005.9634926673,-12.6679881790151
1988,20609.0883629038,20742.5951197498,-133.506756845964
1989,21200.5319160612,21479.7288855006,-279.196969439454
1990,21894.6197078117,22176.4020823315,-281.782374519757
1991,22717.8372093023,22491.0150795593,226.822129743035
1992,22775.6434108527,22653.24709096,122.396319892698
1993,22110.8720930232,22588.3325466123,-477.460453589076
1994,22371,22960.9042064631,-589.904206463143
1995,22486.6124031007,23419.8148519455,-933.202448844761
1996,22602.2248062015,23899.7661993651,-1297.54139316362
1997,22977.965116279,24357.4183831978,-1379.45326691873
1998,23498.2209302326,24903.3458671074,-1405.12493687481
1999,23960.6705426356,25508.4128465022,-1547.74230386659
2000,24654.3449612402,26256.3919480572,-1602.04698681701
2001,25030.0852713178,26429.7608042025,-1399.67553288471
2002,24856.6666666666,26560.1610763091,-1703.49440964245
2003,24654.3449612402,26762.4944052145,-2108.14944397427
