"year","actual_west_germany","synthetic_west_germany","gap"
1960,7662.00742299579,7223.00570423646,439.001718759328
1961,7910.52329178537,7523.75410765114,386.769184134231
1962,8182.48307484676,7791.988869777,390.494205069764
1963,8333.7038573432,8059.90782935939,273.796027983803
1964,8798.98483384619,8498.11820042414,300.866633422051
1965,9167.20612100851,8804.41131533695,362.794805671569
1966,9337.80438163102,9197.19095958149,140.613422049522
1967,9287.42012728407,9485.07601726533,-197.655889981268
1968,9760.6129740973,9933.50727392999,-172.894299832686
1969,10388.0167945379,10468.8349398502,-80.8181453123252
1970,10807.1185395929,10832.4830607323,-25.3645211393705
1971,11028.2434312971,11197.7660772313,-169.522645934174
1972,11434.0169935614,11702.2329853959,-268.215991834435
1973,11920.832048429,12208.3904077606,-287.558359331613
1974,12012.1906498131,12338.0776354352,-325.886985622183
1975,11951.3614284978,12150.0947174864,-198.73328898868
1976,12603.4760405297,12547.7226032052,55.7534373245217
1977,13052.9070914264,13020.9413326259,31.9657588005775
1978,13461.9612397029,13254.0721456003,207.889094102557
1979,14012.7788259468,13738.0072837377,274.771542209164
1980,14163.0908973757,13935.9680519985,227.122845377227
1981,14211.107433149,14038.505428476,172.60200467309
1982,14165.1163594414,14044.1616400019,120.954719439535
1983,14437.7232598901,14404.5548592559,33.1684006342221
1984,14905.3745350001,14779.666024807,125.708510193082
1985,15291,15229.8268568065,61.1731431934695
1986,15629.7617446188,15568.694087566,61.0676570528412
1987,15845.7100291059,15875.1324573766,-29.4224282707237
1988,16333.7573882947,16437.6015323004,-103.844144005732
1989,16802.5066767655,17012.3673619643,-209.860685198815
1990,17352.6067780896,17515.202369452,-162.595591362402
1991,18005.0487837898,17677.0976722159,327.951111573839
1992,18050.8631572854,17816.5857177383,234.277439547164
1993,17523.9978620854,17804.8339123569,-280.836050271482
1994,17730.1625428159,18116.1670332244,-386.004490408533
1995,17821.7912898071,18455.3872434004,-633.595953593216
1996,17913.4200367985,18844.4454235689,-931.025386770434
1997,18211.2134645202,19260.3191233629,-1049.10565884268
1998,18623.542825981,19733.9050963806,-1110.36227039953
1999,18990.0578139462,20249.4868232639,-1259.4290093177
2000,19539.8302958939,20856.3311723459,-1316.50087645194
2001,19837.6237236157,20992.9132893684,-1155.28956575276
2002,19700.1806031288,21065.7413130597,-1365.56070993097
2003,19539.8302958939,21219.067034788,-1679.23673889405
