"year","actual_west_germany","synthetic_west_germany","gap"
1960,2366.26126578,2377.67856463752,-11.4172988575124
1961,2443.01053549274,2472.43951962376,-29.428984131026
1962,2527,2564.77145008145,-37.7714500814482
1963,2573.70158359914,2647.83255959749,-74.130975998351
1964,2717.39452092246,2785.30329806259,-67.9087771401323
1965,2831.11246988095,2883.87348105603,-52.7610111750755
1966,2883.79840893511,2992.30837981182,-108.509970876706
1967,2868.23821656195,3085.89129907863,-217.653082516678
1968,3014.37458042109,3225.92200688249,-211.547426461402
1969,3208.13598997745,3390.52719190377,-182.391201926313
1970,3337.56737407768,3498.23162136785,-160.664247290173
1971,3405.85747577727,3607.17257946627,-201.315103689001
1972,3531.17271107473,3746.76189774336,-215.589186668634
1973,3681.51602769361,3898.50253024214,-216.98650254853
1974,3709.73034645062,3919.85398556338,-210.123639112759
1975,3690.94443013919,3817.90873428617,-126.964304146985
1976,3892.3372847936,3910.5925719491,-18.255287155494
1977,4031.1352823241,4037.98654848704,-6.85126616293246
1978,4157.46366250398,4122.07844000429,35.3852224996854
1979,4327.57291023554,4242.23963458407,85.3332756514756
1980,4373.99385617901,4312.07929066835,61.9145655106568
1981,4388.82282493938,4351.81968749942,37.0031374399623
1982,4374.61938055751,4318.86081696835,55.7585635891619
1983,4458.80869462423,4409.40783753099,49.4008570932365
1984,4603.23365235322,4552.22938540049,51.0042669527365
1985,4722.3265415338,4695.77976601314,26.5467755206682
1986,4826.94648646022,4794.94493861383,32.0015478463929
1987,4893.63789417927,4888.95557123108,4.68232294819518
1988,5044.36178390673,5058.02973941496,-13.6679555082328
1989,5189.12584160543,5235.93840857342,-46.8125669679885
1990,5359.0135081402,5381.53476914872,-22.5212610085173
1991,5560.50747193129,5393.57383396264,166.933637968657
1992,5574.65634590568,5422.60119572821,152.055150177469
1993,5411.94429520029,5418.39503726441,-6.45074206411755
1994,5475.61422808502,5504.16336641223,-28.5491383272174
1995,5503.91197603376,5587.92746013502,-84.0154841012663
1996,5532.20972398253,5695.6291561597,-163.419432177176
1997,5624.177404816,5827.7201614914,-203.542756675403
1998,5751.51727058543,5966.0648170832,-214.547546497774
1999,5864.70826238045,6105.8262181929,-241.117955812456
2000,6034.494750073,6293.75109755711,-259.256347484107
2001,6126.46243090647,6335.51254307806,-209.050112171589
2002,6084.01580898335,6337.4412247438,-253.42541576045
2003,6034.494750073,6371.25976126616,-336.765011193156
